"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1833.18783828507
"FDW14","OUT017",1476.52529618573
"NCN55","OUT010",1884.49417016124
"FDQ58","OUT017",2592.33354755444
"FDY38","OUT027",5176.874199715
"FDH56","OUT046",1926.13165299274
"FDL48","OUT018",599.237647549231
"FDC48","OUT027",2770.21606101604
"FDN33","OUT045",1504.15767612881
"FDA36","OUT017",3084.90072620451
"FDT44","OUT017",1988.72701110458
"FDQ56","OUT045",1317.26451259424
"NCC54","OUT019",1848.24422188
"FDU11","OUT049",2046.43651058015
"DRL59","OUT013",881.5809305472
"FDM24","OUT049",2561.50840170046
"FDI57","OUT045",3103.10061267418
"DRC12","OUT018",2771.58047450671
"NCM42","OUT027",3181.57941634843
"FDA46","OUT010",1160.06169727267
"FDA31","OUT013",2816.4636041308
"NCJ31","OUT035",3867.16198350001
"FDG52","OUT046",791.28337855649
"NCL19","OUT019",379.575866120453
"FDS10","OUT035",3023.74674880881
"FDX22","OUT010",1470.01737180917
"NCF19","OUT035",923.08666506509
"NCE06","OUT046",2551.50838674831
"DRC27","OUT046",3859.95679109467
"FDE21","OUT035",2002.26384227215
"NCR42","OUT019",-1352.02319848646
"FDX51","OUT018",2878.19932649694
"NCR06","OUT018",430.190461202533
"FDU31","OUT027",4944.38651080409
"FDU59","OUT017",2726.09698250418
"FDR03","OUT027",4753.51481746904
"FDS49","OUT027",2744.9731891427
"FDD48","OUT010",-64.3259864795957
"NCF18","OUT017",3120.20062680816
"NCD43","OUT027",3087.59998711658
"NCD54","OUT018",2004.35053170225
"FDY19","OUT010",-35.3626694574333
"NCY54","OUT017",2821.02269055582
"NCL19","OUT018",2030.10458624022
"FDP23","OUT010",1552.64596965466
"FDC26","OUT013",1806.29731832854
"FDR14","OUT010",-995.300876411695
"NCS41","OUT035",3032.13348482793
"FDF41","OUT035",4030.79916677245
"FDU34","OUT046",1990.55359495135
"DRH11","OUT046",941.602802057629
"FDM03","OUT013",1732.94875805874
"FDS31","OUT017",3037.95588583095
"FDJ20","OUT017",2092.64664139982
"FDV44","OUT027",4503.14597983868
"FDG02","OUT049",3107.55389236908
"FDA09","OUT013",2912.20798847848
"FDT04","OUT013",660.720888562468
"FDL58","OUT019",2276.50621904089
"FDE52","OUT045",1449.52901308687
"FDW12","OUT035",2513.26819994637
"FDL51","OUT017",3550.7485885566
"NCY42","OUT027",3701.25560655946
"FDR07","OUT017",1662.91256131373
"FDN40","OUT045",2376.22992770411
"FDB35","OUT027",2944.26967904728
"FDA22","OUT017",2773.81909837725
"NCL06","OUT046",4103.72436029306
"FDI35","OUT013",2917.63470574398
"NCW42","OUT045",3408.22314203649
"NCX06","OUT049",2945.97708385343
"FDC37","OUT027",3183.79189642266
"FDZ14","OUT018",1726.03676280296
"DRG49","OUT049",3945.29320330409
"NCG06","OUT045",3947.67740517003
"DRC36","OUT045",2742.14600124047
"FDV21","OUT019",50.8485859327893
"FDB53","OUT046",2371.24510411058
"DRP47","OUT019",2035.91980249188
"FDA14","OUT013",2349.61012779713
"DRC24","OUT035",2586.20099532441
"FDW21","OUT018",1390.81857413348
"NCH29","OUT046",1549.87103884256
"FDU58","OUT013",3076.64143289449
"FDY27","OUT017",2946.6797070393
"FDV56","OUT035",1947.26683223425
"FDT59","OUT046",3643.46888359133
"FDB23","OUT046",3617.14853157637
"FDR49","OUT045",700.763203020305
"FDB03","OUT010",1937.54024729711
"FDN39","OUT045",2637.24479431781
"FDX02","OUT027",4978.06319231402
"FDQ16","OUT027",3175.54515007864
"FDU35","OUT018",1324.48579345883
"NCT29","OUT013",1946.84548563197
"FDZ27","OUT046",836.791613360758
"FDN57","OUT017",2358.25061630033
"FDA03","OUT018",2113.52331377493
"FDZ36","OUT045",2930.93302445397
"NCU05","OUT013",1317.44867750343
"FDT39","OUT018",2206.95344961334
"FDK60","OUT017",1696.8055655449
