"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1836.26775672375
"FDW14","OUT017",1549.10795822826
"NCN55","OUT010",1862.30566727488
"FDQ58","OUT017",2604.3544118915
"FDY38","OUT027",5177.66274785425
"FDH56","OUT046",1893.27791850576
"FDL48","OUT018",580.129071069739
"FDC48","OUT027",2788.45251752107
"FDN33","OUT045",1482.66849141034
"FDA36","OUT017",3086.05141897275
"FDT44","OUT017",2017.77874507072
"FDQ56","OUT045",1346.89970509913
"NCC54","OUT019",1863.30230217365
"FDU11","OUT049",2063.58377580407
"DRL59","OUT013",882.47704259052
"FDM24","OUT049",2550.77980785586
"FDI57","OUT045",3113.35316677937
"DRC12","OUT018",2760.27878879608
"NCM42","OUT027",3174.31256268134
"FDA46","OUT010",1165.73944215525
"FDA31","OUT013",2849.91289912958
"NCJ31","OUT035",3899.1773615237
"FDG52","OUT046",819.136984993553
"NCL19","OUT019",370.09346478393
"FDS10","OUT035",3035.71323530379
"FDX22","OUT010",1414.20996634232
"NCF19","OUT035",920.165906520494
"NCE06","OUT046",2558.99334492034
"DRC27","OUT046",3851.96692780368
"FDE21","OUT035",2029.73486936788
"NCR42","OUT019",-1360.79688687937
"FDX51","OUT018",2844.09577115966
"NCR06","OUT018",422.576273973299
"FDU31","OUT027",4928.79241502003
"FDU59","OUT017",2760.27528116985
"FDR03","OUT027",4741.20773562913
"FDS49","OUT027",2777.93451840886
"FDD48","OUT010",-86.2561789120521
"NCF18","OUT017",3130.79289551875
"NCD43","OUT027",3082.10365331409
"NCD54","OUT018",2020.2392572593
"FDY19","OUT010",-29.3064173299516
"NCY54","OUT017",2853.11752614001
"NCL19","OUT018",2035.58604561153
"FDP23","OUT010",1549.06103769844
"FDC26","OUT013",1835.85938063683
"FDR14","OUT010",-965.607571197307
"NCS41","OUT035",3035.69121775435
"FDF41","OUT035",4065.63686438611
"FDU34","OUT046",1993.97293090916
"DRH11","OUT046",921.602421860258
"FDM03","OUT013",1768.76224927146
"FDS31","OUT017",3016.73871158152
