"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1720.56243264372
"FDW14","OUT017",1438.18300132328
"NCN55","OUT010",774.473125292787
"FDQ58","OUT017",2308.92377226064
"FDY38","OUT027",5969.26937543198
"FDH56","OUT046",1927.81755304421
"FDL48","OUT018",697.491152655375
"FDC48","OUT027",2405.43709683889
"FDN33","OUT045",1463.19403281343
"FDA36","OUT017",3088.06332794795
"FDT44","OUT017",1830.35378919381
"FDQ56","OUT045",1405.64879129106
"NCC54","OUT019",697.859575928056
"FDU11","OUT049",1954.7169496892
"DRL59","OUT013",811.09753065533
"FDM24","OUT049",2457.89470481319
"FDI57","OUT045",2682.95783023266
"DRC12","OUT018",2957.76649369613
"NCM42","OUT027",2645.21676556491
"FDA46","OUT010",442.884398832244
"FDA31","OUT013",3062.25520855353
"NCJ31","OUT035",4003.96252984491
"FDG52","OUT046",800.98632024014
"NCL19","OUT019",389.686743566503
"FDS10","OUT035",3237.31412788829
"FDX22","OUT010",680.583726699529
"NCF19","OUT035",768.58327163381
"NCE06","OUT046",2515.91027575354
"DRC27","OUT046",3798.530832362
"FDE21","OUT035",2005.96651865782
"NCR42","OUT019",121.374763144785
"FDX51","OUT018",2605.03437364764
"NCR06","OUT018",656.375758620621
"FDU31","OUT027",5790.84453408714
"FDU59","OUT017",2284.68269867473
"FDR03","OUT027",6164.53828905964
"FDS49","OUT027",2531.14487570464
"FDD48","OUT010",255.362827980681
"NCF18","OUT017",2832.28389951344
"NCD43","OUT027",2640.5845031153
"NCD54","OUT018",1921.36025519699
"FDY19","OUT010",274.164137436912
"NCY54","OUT017",2436.3659205263
"NCL19","OUT018",2121.10560306153
"FDP23","OUT010",702.28665883065
"FDC26","OUT013",1849.2087441428
"FDR14","OUT010",190.077498112605
"NCS41","OUT035",3168.26103934531
"FDF41","OUT035",4021.76096812095
"FDU34","OUT046",2028.60714357695
"DRH11","OUT046",955.590311959768
"FDM03","OUT013",1678.97971557945
"FDS31","OUT017",3175.25690557466
"FDJ20","OUT017",2107.35672075842
"FDV44","OUT027",5012.83611929695
"FDG02","OUT049",2994.59964439698
"FDA09","OUT013",3284.96638138935
"FDT04","OUT013",674.055373125783
"FDL58","OUT019",588.842459129734
"FDE52","OUT045",1421.98165010277
"FDW12","OUT035",2695.4752243966
"FDL51","OUT017",3995.19588257016
"NCY42","OUT027",3436.76856907216
"FDR07","OUT017",1588.81417083373
"FDN40","OUT045",2195.30288270846
"FDB35","OUT027",2567.77589734389
"FDA22","OUT017",2477.42797652491
"NCL06","OUT046",3963.07232978594
"FDI35","OUT013",3476.50971192416
"NCW42","OUT045",3437.95681140068
"NCX06","OUT049",3360.18433075734
"FDC37","OUT027",2709.96300175433
"FDZ14","OUT018",1599.76344587127
"DRG49","OUT049",4427.45341286029
"NCG06","OUT045",3800.06424413995
"DRC36","OUT045",2933.15488935694
"FDV21","OUT019",365.380511927278
"FDB53","OUT046",2710.93020107943
"DRP47","OUT019",613.494134587716
"FDA14","OUT013",2354.82775412012
"DRC24","OUT035",2601.01420828904
"FDW21","OUT018",1443.66359199174
"NCH29","OUT046",1906.00118455429
"FDU58","OUT013",3078.85015962658
"FDY27","OUT017",2638.5582723012
"FDV56","OUT035",1886.52250170075
"FDT59","OUT046",3835.08868911303
"FDB23","OUT046",3452.20358666855
"FDR49","OUT045",803.115345356419
"FDB03","OUT010",642.304165604217
"FDN39","OUT045",2750.68189972009
"FDX02","OUT027",5858.89432570239
"FDQ16","OUT027",2719.87460335307
"FDU35","OUT018",1367.4707472073
"NCT29","OUT013",1750.6417335816
"FDZ27","OUT046",850.894691581544
"FDN57","OUT017",2395.55230422967
"FDA03","OUT018",2139.73222207401
"FDZ36","OUT045",3085.62428596557
"NCU05","OUT013",1290.79467597402
"FDT39","OUT018",2387.8612806165
"FDK60","OUT017",1667.30979860674
"FDZ25","OUT017",2915.87228085008
"FDG12","OUT046",2375.16484295186
"DRB01","OUT019",440.89124452411
"NCC43","OUT027",5737.34869607714
"FDX13","OUT019",547.133951541862
"FDM22","OUT049",863.737206734438
"FDJ03","OUT027",1694.92922308356
"FDU14","OUT018",3437.15081805837
"FDB33","OUT010",428.862072102682
"FDP27","OUT046",3146.99195115905
"FDO38","OUT010",188.881879217563
"FDE28","OUT027",5955.21236163512
"FDO27","OUT035",1634.79921381218
"DRL23","OUT027",2567.29968495705
"FDS28","OUT046",948.872733796488
"FDX24","OUT013",1252.75567678525
"FDZ02","OUT035",1634.28481743336
"FDL46","OUT045",1657.21279070078
"FDS60","OUT027",5092.33891211503
"NCO06","OUT017",673.241276485865
"FDO16","OUT035",1638.18911868739
"FDC60","OUT049",1438.80329834768
"FDA48","OUT018",3556.92817513552
"FDZ36","OUT027",4705.28505284028
"FDK27","OUT045",1891.27428175738
"FDW23","OUT018",614.474923526715
"FDM14","OUT018",1482.41424576267
"FDM14","OUT013",1577.98229971655
"FDW60","OUT018",2562.18048116793
"FDE21","OUT013",1875.3311787014
"NCM42","OUT035",2011.71062932515
"FDY59","OUT010",204.814806904785
"DRI49","OUT049",1411.06824165432
"FDT28","OUT019",316.982658116235
"FDQ22","OUT018",621.736423076182
"FDR60","OUT049",1216.54169559926
"FDC50","OUT019",276.19316509669
"FDV24","OUT013",2487.97789776775
"DRF48","OUT010",469.397660302934
"FDQ47","OUT046",822.478240930661
"DRN36","OUT049",1650.2978120062
"NCY06","OUT035",2023.33763210513
"FDE52","OUT035",1522.25460199331
"NCB54","OUT045",1685.3937434951
"NCF31","OUT035",2484.28306173831
"FDJ08","OUT027",5241.72138409594
"NCC07","OUT017",1764.50966366835
"NCD19","OUT027",1798.11585289831
"FDL46","OUT049",1839.70989148431
"FDM20","OUT045",4111.14658786718
"NCI06","OUT010",462.111587520531
"DRM11","OUT035",4130.51088833225
"NCH07","OUT018",2318.36156810472
"FDS23","OUT013",1994.24918601762
"FDO49","OUT018",722.140688457495
"FDS35","OUT049",950.651040548685
"DRK39","OUT045",1361.79558518443
"DRI39","OUT049",905.712085669127
"FDV04","OUT017",2371.08598344407
"NCN14","OUT035",2875.19597680177
"FDH08","OUT013",3878.10007189524
"FDS20","OUT046",3135.2764149931
"FDV40","OUT049",1161.87264967625
"FDZ48","OUT010",252.830857468187
"FDS24","OUT027",2639.64197373232
"FDK44","OUT049",2777.65420297942
"FDS48","OUT045",2572.10673947113
"FDK26","OUT010",483.230146519172
"FDD23","OUT045",3146.63483546909
"NCH54","OUT017",2606.56159876291
"NCP14","OUT010",297.668992933531
"FDM60","OUT010",122.039513145265
"FDV24","OUT017",2438.9338553384
"FDH08","OUT018",3401.88315872998
"FDS12","OUT027",3344.76564759454
"FDR39","OUT027",5139.64513999819
"FDP12","OUT027",1411.31860984279
"DRF60","OUT027",5481.81905982661
"FDC09","OUT035",1827.89889633411
"FDF50","OUT018",2969.0548460088
"FDG28","OUT035",4151.46984094671
"NCE19","OUT017",870.399758898525
"NCM53","OUT010",284.853290841963
"NCN18","OUT049",1727.07841329392
"FDF32","OUT035",3409.24407890912
"FDF11","OUT013",3791.72545312914
"DRI59","OUT049",4137.56776346164
"NCG54","OUT035",2974.71499754015
"FDM44","OUT046",1556.27755202419
"FDT57","OUT018",2665.14457407137
"FDV24","OUT046",2431.07970423985
"FDI50","OUT019",533.836477082197
"FDS09","OUT035",874.674536496503
"NCC31","OUT027",3955.89179982585
"FDQ07","OUT019",514.377632891717
"FDC22","OUT017",3169.88669874945
"FDZ56","OUT046",2609.58997822967
"FDZ40","OUT019",146.222973809509
"FDS46","OUT027",2881.09515426735
"DRD24","OUT045",1996.66175793598
"FDV45","OUT017",3185.3104062135
"FDL26","OUT045",2855.00152945377
"FDA56","OUT018",1490.38932215602
"FDN27","OUT046",1786.83498880683
"FDM20","OUT049",4086.19631030516
"FDO16","OUT017",1681.08669857144
"FDL03","OUT035",3474.74367816364
"FDE58","OUT046",2026.67102824035
"FDI02","OUT027",2912.19272935352
"NCC55","OUT019",118.707022824834
"FDR03","OUT018",3233.41326917314
"FDB14","OUT017",1556.35651652207
"FDR45","OUT013",3706.05711065056
"NCN07","OUT017",2110.63143876926
"FDM51","OUT019",258.651406444581
"FDT52","OUT027",6206.14860811863
"FDL26","OUT046",2535.82528669133
"NCZ42","OUT046",3585.52523974146
"DRI47","OUT019",382.968215841643
"FDW40","OUT013",2405.82375296685
"FDN34","OUT046",2774.95741063694
"FDS01","OUT035",3159.038047958
"NCG55","OUT045",1689.47970996623
"FDC11","OUT035",1356.59701121192
"FDX35","OUT018",3051.26659657659
"NCB06","OUT046",2534.62616482072
"FDR09","OUT019",556.592274853765
"FDC53","OUT017",1759.257516172
"FDY45","OUT013",3815.1592093694
"FDA22","OUT010",431.71173358496
"FDE02","OUT035",1569.62232640011
"FDW21","OUT045",1680.13929720589
"FDV34","OUT046",1359.50266916257
"FDS59","OUT049",1859.42990904473
"NCW17","OUT017",2229.56397891973
"NCK54","OUT046",1957.94233256502
"FDG17","OUT019",533.353349283915
"FDG35","OUT017",3137.39284454212
"FDD08","OUT010",139.237635315996
"NCO07","OUT017",3801.28516164259
"FDJ10","OUT010",401.991150603286
"FDW36","OUT017",1720.95159167277
"FDW21","OUT010",319.278842443972
"FDY19","OUT017",1953.04793130783
"DRE03","OUT013",756.510084509106
"NCC55","OUT049",808.150960344106
"FDH52","OUT010",170.245278559809
"FDO09","OUT017",3910.16002711751
"FDU43","OUT045",3854.28898884255
"FDX09","OUT010",455.488704521349
"FDH40","OUT019",266.374540098514
"FDW58","OUT017",1788.13449208079
"FDC47","OUT017",4096.41600632522
"NCR41","OUT035",1798.09233349326
"DRG49","OUT035",4128.75105360558
"FDC52","OUT027",4355.04874174662
"FDY13","OUT046",1290.96740078291
"FDY35","OUT013",803.037930902719
"FDI35","OUT017",3411.07364170247
"NCU18","OUT049",2421.8680536291
"FDY33","OUT018",2463.53148201737
"FDC15","OUT027",3953.58045014341
"FDU01","OUT049",3032.99394103116
"NCU42","OUT046",2784.98259820751
"NCV29","OUT018",2362.18887990217
"NCY30","OUT017",2924.13289500902
"FDQ46","OUT049",1750.67647645375
"FDG58","OUT027",4223.64918823241
"FDK33","OUT017",4430.60441609313
"NCD07","OUT045",1617.62632844543
"NCX29","OUT027",3840.33013298121
"NCT42","OUT013",2558.02817119106
"DRN59","OUT035",788.980061143052
"FDI44","OUT035",1400.73498968051
"FDA45","OUT049",2504.53026439614
"FDP31","OUT045",962.55050543002
"FDY01","OUT046",1860.47047649118
"FDT09","OUT018",1586.39952228632
"DRH03","OUT027",2460.21425568125
"FDA36","OUT018",2547.32420751012
"NCF31","OUT017",2382.35852282501
"FDG14","OUT049",2516.75412345768
"FDG28","OUT027",6154.15947571931
"FDU14","OUT049",4110.69026796275
"FDY47","OUT019",287.045367718221
"FDI56","OUT049",1395.71245138637
"DRD01","OUT013",724.876761552772
"FDM22","OUT046",935.095095790152
"FDH33","OUT013",675.989763842451
"DRZ24","OUT013",1972.51772703608
"NCQ38","OUT046",1716.23429390453
"FDO16","OUT027",2333.51805871056
"FDU07","OUT027",4183.51008430878
"NCB07","OUT013",2587.99573691118
"FDU48","OUT045",1753.22047904898
"NCM43","OUT045",2684.8578735984
"FDR31","OUT010",393.578701463807
"DRK49","OUT018",579.314022490955
"NCI30","OUT010",788.273370383827
"DRD60","OUT017",3304.01245263466
"NCG19","OUT046",3468.69482688716
"FDH12","OUT035",1575.39993408761
"FDM32","OUT035",1494.11543555994
"FDM27","OUT035",2676.61338699556
"NCU53","OUT027",4104.2750667175
"NCQ18","OUT046",1764.08976804106
"FDS10","OUT013",3120.36044530231
"FDB33","OUT027",4269.64619393267
"FDI12","OUT013",1487.67515796053
"NCW42","OUT013",3795.42048415771
"NCC06","OUT018",1868.87102108013
"FDW02","OUT017",2014.70948881963
"NCD43","OUT017",1765.02491169372
"FDM57","OUT018",1207.16893744927
"FDA58","OUT017",3755.42514740775
"FDK56","OUT046",3047.84468413239
"FDP52","OUT045",3796.54982190671
"FDW20","OUT018",1622.01708961994
"FDS52","OUT049",1675.85685016956
"NCT29","OUT018",1666.42797335124
"NCL54","OUT013",2777.30123564769
"FDC05","OUT045",2605.25627863186
"FDF34","OUT035",2914.47410552567
"FDP03","OUT027",2964.42091054127
"FDD32","OUT010",197.095351078538
"FDZ10","OUT045",1783.48369130775
