"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1877.35556805634
"FDW14","OUT017",1477.18049731227
"NCN55","OUT010",2100.07197856221
"FDQ58","OUT017",2665.03092762531
"FDY38","OUT027",5058.6806580031
"FDH56","OUT046",1871.43736589786
"FDL48","OUT018",662.734768280444
"FDC48","OUT027",2761.51405288571
"FDN33","OUT045",1525.79007358938
"FDA36","OUT017",3073.92472251568
"FDT44","OUT017",1900.79884924438
"FDQ56","OUT045",1360.97112129404
"NCC54","OUT019",1823.43765036379
"FDU11","OUT049",2098.94973748196
"DRL59","OUT013",900.344603083179
"FDM24","OUT049",2668.67842388498
"FDI57","OUT045",2968.04271753019
"DRC12","OUT018",2635.06547132702
"NCM42","OUT027",3169.01650961944
"FDA46","OUT010",1272.84922166162
"FDA31","OUT013",2782.08046412092
"NCJ31","OUT035",3791.85591432801
"FDG52","OUT046",804.633873732521
"NCL19","OUT019",528.751817099336
"FDS10","OUT035",2987.0956716241
"FDX22","OUT010",1931.14687015182
"NCF19","OUT035",950.023530244119
"NCE06","OUT046",2634.8789056972
"DRC27","OUT046",3762.97225876291
"FDE21","OUT035",1942.3659465676
"NCR42","OUT019",-1306.57563819473
"FDX51","OUT018",2752.86384962683
"NCR06","OUT018",446.533665581859
"FDU31","OUT027",4947.66784663748
"FDU59","OUT017",2783.68217257048
"FDR03","OUT027",4817.8203898148
"FDS49","OUT027",2714.73403078896
"FDD48","OUT010",187.330200501204
"NCF18","OUT017",2977.11845371486
"NCD43","OUT027",3032.53816874492
"NCD54","OUT018",2122.18215000725
"FDY19","OUT010",239.321840652864
"NCY54","OUT017",2727.7756237847
"NCL19","OUT018",2094.80830155829
"FDP23","OUT010",1977.97799063041
"FDC26","OUT013",1713.38133778114
"FDR14","OUT010",-749.883567887478
"NCS41","OUT035",2932.88790822597
"FDF41","OUT035",3901.51778352376
"FDU34","OUT046",1928.79652699651
"DRH11","OUT046",1014.06075251427
"FDM03","OUT013",1653.91163426774
"FDS31","OUT017",2936.81043201583
"FDJ20","OUT017",2034.74380021726
"FDV44","OUT027",4368.28372398536
"FDG02","OUT049",3048.27659570771
"FDA09","OUT013",2777.55927095368
"FDT04","OUT013",663.19404311289
"FDL58","OUT019",2255.13518412516
"FDE52","OUT045",1449.11479798567
"FDW12","OUT035",2607.94135295011
"FDL51","OUT017",3639.8568827283
"NCY42","OUT027",3804.39582867332
"FDR07","OUT017",1703.9828412556
"FDN40","OUT045",2471.05958708134
"FDB35","OUT027",2884.00476612409
"FDA22","OUT017",2789.59664220635
"NCL06","OUT046",3927.55264011095
"FDI35","OUT013",2819.05041776835
"NCW42","OUT045",3429.11005936268
"NCX06","OUT049",2893.87828248812
"FDC37","OUT027",3101.15960755769
