"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1562.38537597656
"FDW14","OUT017",1354.37268066406
"NCN55","OUT010",822.870056152344
"FDQ58","OUT017",2402.84350585938
"FDY38","OUT027",5981.58837890625
"FDH56","OUT046",1859.92883300781
"FDL48","OUT018",617.258361816406
"FDC48","OUT027",2246.16357421875
"FDN33","OUT045",1493.20568847656
"FDA36","OUT017",2947.630859375
"FDT44","OUT017",1842.1259765625
"FDQ56","OUT045",1403.81994628906
"NCC54","OUT019",767.964965820312
"FDU11","OUT049",2085.69750976562
"DRL59","OUT013",746.72216796875
"FDM24","OUT049",2380.12060546875
"FDI57","OUT045",2880.94775390625
"DRC12","OUT018",2711.38427734375
"NCM42","OUT027",2741.0419921875
"FDA46","OUT010",462.099548339844
"FDA31","OUT013",2743.00610351562
"NCJ31","OUT035",3755.55249023438
"FDG52","OUT046",754.936401367188
"NCL19","OUT019",387.199737548828
"FDS10","OUT035",3047.87939453125
"FDX22","OUT010",847.92431640625
"NCF19","OUT035",800.123413085938
"NCE06","OUT046",2437.54028320312
"DRC27","OUT046",3737.83764648438
"FDE21","OUT035",2033.22863769531
"NCR42","OUT019",35.4992027282715
"FDX51","OUT018",2756.98876953125
"NCR06","OUT018",533.743041992188
"FDU31","OUT027",5451.5654296875
"FDU59","OUT017",2392.27807617188
"FDR03","OUT027",5170.498046875
"FDS49","OUT027",2431.40600585938
"FDD48","OUT010",477.777709960938
"NCF18","OUT017",2989.29638671875
"NCD43","OUT027",2588.75561523438
"NCD54","OUT018",1778.88024902344
"FDY19","OUT010",462.193450927734
"NCY54","OUT017",2555.74072265625
"NCL19","OUT018",2061.90991210938
"FDP23","OUT010",847.858825683594
"FDC26","OUT013",1714.25500488281
"FDR14","OUT010",153.197769165039
"NCS41","OUT035",3129.06958007812
"FDF41","OUT035",3818.31567382812
"FDU34","OUT046",1996.13061523438
"DRH11","OUT046",1067.70080566406
"FDM03","OUT013",1715.88732910156
"FDS31","OUT017",3067.32080078125
"FDJ20","OUT017",1887.49536132812
"FDV44","OUT027",5005.2919921875
"FDG02","OUT049",3011.2607421875
"FDA09","OUT013",3036.68237304688
"FDT04","OUT013",636.637512207031
"FDL58","OUT019",699.580749511719
"FDE52","OUT045",1427.64099121094
"FDW12","OUT035",2525.2880859375
"FDL51","OUT017",3434.3251953125
"NCY42","OUT027",3129.1669921875
"FDR07","OUT017",1540.37634277344
"FDN40","OUT045",2252.791015625
"FDB35","OUT027",2432.29711914062
"FDA22","OUT017",2622.23803710938
"NCL06","OUT046",3990.12573242188
"FDI35","OUT013",3099.42895507812
"NCW42","OUT045",3522.10302734375
"NCX06","OUT049",3028.1787109375
"FDC37","OUT027",2659.06616210938
"FDZ14","OUT018",1711.78759765625
"DRG49","OUT049",4088.30932617188
"NCG06","OUT045",3764.39038085938
"DRC36","OUT045",2793.46459960938
"FDV21","OUT019",335.927185058594
"FDB53","OUT046",2559.19409179688
"DRP47","OUT019",612.00732421875
"FDA14","OUT013",2434.07788085938
"DRC24","OUT035",2550.6630859375
"FDW21","OUT018",1470.90576171875
"NCH29","OUT046",1666.15649414062
"FDU58","OUT013",2985.64038085938
"FDY27","OUT017",2767.16333007812
"FDV56","OUT035",1730.7666015625
"FDT59","OUT046",3800.26538085938
"FDB23","OUT046",3404.01025390625
"FDR49","OUT045",756.211181640625
"FDB03","OUT010",644.315246582031
"FDN39","OUT045",2378.31640625
"FDX02","OUT027",5761.13134765625
"FDQ16","OUT027",2596.85229492188
"FDU35","OUT018",1472.36706542969
"NCT29","OUT013",1919.18005371094
"FDZ27","OUT046",841.399597167969
"FDN57","OUT017",2233.2509765625
"FDA03","OUT018",2000.67846679688
"FDZ36","OUT045",2911.23291015625
"NCU05","OUT013",1231.98510742188
"FDT39","OUT018",2163.97143554688
