"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",0.5
"FDW14","OUT017",0.5
"NCN55","OUT010",0.5
"FDQ58","OUT017",0.5
"FDY38","OUT027",0.5
"FDH56","OUT046",0.5
"FDL48","OUT018",0.5
"FDC48","OUT027",0.5
"FDN33","OUT045",0.5
"FDA36","OUT017",0.5
"FDT44","OUT017",0.5
"FDQ56","OUT045",0.5
"NCC54","OUT019",0.5
"FDU11","OUT049",0.5
"DRL59","OUT013",0.5
"FDM24","OUT049",0.5
"FDI57","OUT045",0.5
"DRC12","OUT018",0.5
"NCM42","OUT027",0.5
"FDA46","OUT010",0.5
"FDA31","OUT013",0.5
"NCJ31","OUT035",0.5
"FDG52","OUT046",0.5
"NCL19","OUT019",0.5
"FDS10","OUT035",0.5
"FDX22","OUT010",0.5
"NCF19","OUT035",0.5
"NCE06","OUT046",0.5
"DRC27","OUT046",0.5
"FDE21","OUT035",0.5
"NCR42","OUT019",0.5
"FDX51","OUT018",0.5
"NCR06","OUT018",0.5
"FDU31","OUT027",0.5
"FDU59","OUT017",0.5
"FDR03","OUT027",0.5
"FDS49","OUT027",0.5
"FDD48","OUT010",0.5
"NCF18","OUT017",0.5
"NCD43","OUT027",0.5
"NCD54","OUT018",0.5
"FDY19","OUT010",0.5
"NCY54","OUT017",0.5
"NCL19","OUT018",0.5
"FDP23","OUT010",0.5
"FDC26","OUT013",0.5
"FDR14","OUT010",0.5
"NCS41","OUT035",0.5
"FDF41","OUT035",0.5
"FDU34","OUT046",0.5
"DRH11","OUT046",0.5
"FDM03","OUT013",0.5
"FDS31","OUT017",0.5
"FDJ20","OUT017",0.5
"FDV44","OUT027",0.5
"FDG02","OUT049",0.5
"FDA09","OUT013",0.5
"FDT04","OUT013",0.5
"FDL58","OUT019",0.5
"FDE52","OUT045",0.5
"FDW12","OUT035",0.5
"FDL51","OUT017",0.5
"NCY42","OUT027",0.5
"FDR07","OUT017",0.5
"FDN40","OUT045",0.5
"FDB35","OUT027",0.5
"FDA22","OUT017",0.5
"NCL06","OUT046",0.5
"FDI35","OUT013",0.5
"NCW42","OUT045",0.5
"NCX06","OUT049",0.5
"FDC37","OUT027",0.5
"FDZ14","OUT018",0.5
"DRG49","OUT049",0.5
"NCG06","OUT045",0.5
"DRC36","OUT045",0.5
"FDV21","OUT019",0.5
"FDB53","OUT046",0.5
"DRP47","OUT019",0.5
"FDA14","OUT013",0.5
"DRC24","OUT035",0.5
"FDW21","OUT018",0.5
"NCH29","OUT046",0.5
"FDU58","OUT013",0.5
"FDY27","OUT017",0.5
"FDV56","OUT035",0.5
"FDT59","OUT046",0.5
"FDB23","OUT046",0.5
"FDR49","OUT045",0.5
"FDB03","OUT010",0.5
"FDN39","OUT045",0.5
"FDX02","OUT027",0.5
"FDQ16","OUT027",0.5
"FDU35","OUT018",0.5
"NCT29","OUT013",0.5
"FDZ27","OUT046",0.5
"FDN57","OUT017",0.5
"FDA03","OUT018",0.5
"FDZ36","OUT045",0.5
"NCU05","OUT013",0.5
"FDT39","OUT018",0.5
"FDK60","OUT017",0.5
"FDZ25","OUT017",0.5
"FDG12","OUT046",0.5
"DRB01","OUT019",0.5
"NCC43","OUT027",0.5
"FDX13","OUT019",0.5
"FDM22","OUT049",0.5
"FDJ03","OUT027",0.5
"FDU14","OUT018",0.5
"FDB33","OUT010",0.5
"FDP27","OUT046",0.5
"FDO38","OUT010",0.5
"FDE28","OUT027",0.5
"FDO27","OUT035",0.5
"DRL23","OUT027",0.5
"FDS28","OUT046",0.5
"FDX24","OUT013",0.5
"FDZ02","OUT035",0.5
"FDL46","OUT045",0.5
"FDS60","OUT027",0.5
"NCO06","OUT017",0.5
"FDO16","OUT035",0.5
"FDC60","OUT049",0.5
"FDA48","OUT018",0.5
"FDZ36","OUT027",0.5
"FDK27","OUT045",0.5
"FDW23","OUT018",0.5
"FDM14","OUT018",0.5
"FDM14","OUT013",0.5
"FDW60","OUT018",0.5
"FDE21","OUT013",0.5
"NCM42","OUT035",0.5
"FDY59","OUT010",0.5
"DRI49","OUT049",0.5
"FDT28","OUT019",0.5
"FDQ22","OUT018",0.5
"FDR60","OUT049",0.5
"FDC50","OUT019",0.5
"FDV24","OUT013",0.5
"DRF48","OUT010",0.5
"FDQ47","OUT046",0.5
"DRN36","OUT049",0.5
"NCY06","OUT035",0.5
"FDE52","OUT035",0.5
"NCB54","OUT045",0.5
"NCF31","OUT035",0.5
"FDJ08","OUT027",0.5
"NCC07","OUT017",0.5
"NCD19","OUT027",0.5
"FDL46","OUT049",0.5
"FDM20","OUT045",0.5
"NCI06","OUT010",0.5
"DRM11","OUT035",0.5
"NCH07","OUT018",0.5
"FDS23","OUT013",0.5
"FDO49","OUT018",0.5
"FDS35","OUT049",0.5
"DRK39","OUT045",0.5
"DRI39","OUT049",0.5
"FDV04","OUT017",0.5
"NCN14","OUT035",0.5
"FDH08","OUT013",0.5
"FDS20","OUT046",0.5
"FDV40","OUT049",0.5
"FDZ48","OUT010",0.5
"FDS24","OUT027",0.5
"FDK44","OUT049",0.5
"FDS48","OUT045",0.5
"FDK26","OUT010",0.5
"FDD23","OUT045",0.5
"NCH54","OUT017",0.5
"NCP14","OUT010",0.5
"FDM60","OUT010",0.5
"FDV24","OUT017",0.5
"FDH08","OUT018",0.5
"FDS12","OUT027",0.5
"FDR39","OUT027",0.5
"FDP12","OUT027",0.5
"DRF60","OUT027",0.5
"FDC09","OUT035",0.5
"FDF50","OUT018",0.5
"FDG28","OUT035",0.5
"NCE19","OUT017",0.5
"NCM53","OUT010",0.5
"NCN18","OUT049",0.5
"FDF32","OUT035",0.5
"FDF11","OUT013",0.5
"DRI59","OUT049",0.5
"NCG54","OUT035",0.5
"FDM44","OUT046",0.5
"FDT57","OUT018",0.5
"FDV24","OUT046",0.5
"FDI50","OUT019",0.5
"FDS09","OUT035",0.5
"NCC31","OUT027",0.5
"FDQ07","OUT019",0.5
"FDC22","OUT017",0.5
"FDZ56","OUT046",0.5
"FDZ40","OUT019",0.5
"FDS46","OUT027",0.5
"DRD24","OUT045",0.5
"FDV45","OUT017",0.5
"FDL26","OUT045",0.5
"FDA56","OUT018",0.5
"FDN27","OUT046",0.5
"FDM20","OUT049",0.5
"FDO16","OUT017",0.5
"FDL03","OUT035",0.5
"FDE58","OUT046",0.5
"FDI02","OUT027",0.5
"NCC55","OUT019",0.5
"FDR03","OUT018",0.5
"FDB14","OUT017",0.5
"FDR45","OUT013",0.5
"NCN07","OUT017",0.5
"FDM51","OUT019",0.5
"FDT52","OUT027",0.5
"FDL26","OUT046",0.5
"NCZ42","OUT046",0.5
"DRI47","OUT019",0.5
"FDW40","OUT013",0.5
"FDN34","OUT046",0.5
"FDS01","OUT035",0.5
"NCG55","OUT045",0.5
"FDC11","OUT035",0.5
"FDX35","OUT018",0.5
"NCB06","OUT046",0.5
"FDR09","OUT019",0.5
"FDC53","OUT017",0.5
"FDY45","OUT013",0.5
"FDA22","OUT010",0.5
"FDE02","OUT035",0.5
"FDW21","OUT045",0.5
"FDV34","OUT046",0.5
"FDS59","OUT049",0.5
"NCW17","OUT017",0.5
"NCK54","OUT046",0.5
"FDG17","OUT019",0.5
"FDG35","OUT017",0.5
"FDD08","OUT010",0.5
"NCO07","OUT017",0.5
"FDJ10","OUT010",0.5
"FDW36","OUT017",0.5
"FDW21","OUT010",0.5
"FDY19","OUT017",0.5
"DRE03","OUT013",0.5
"NCC55","OUT049",0.5
"FDH52","OUT010",0.5
"FDO09","OUT017",0.5
"FDU43","OUT045",0.5
"FDX09","OUT010",0.5
"FDH40","OUT019",0.5
"FDW58","OUT017",0.5
"FDC47","OUT017",0.5
"NCR41","OUT035",0.5
